title	major_group	minor_group	broad_group	detailed_occupation
Career/Technical Education Teachers, Secondary School (25-2032.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Secondary School Teachers (25-2030)	Career/Technical Education Teachers, Secondary School (25-2032)
Special Education Teachers, Preschool (25-2051.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, Preschool (25-2051)
Special Education Teachers, Kindergarten and Elementary School (25-2052.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, Kindergarten and Elementary School (25-2052)
Special Education Teachers, Middle School (25-2053.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, Middle School (25-2053)
Special Education Teachers, Secondary School (25-2054.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, Secondary School (25-2054)
Special Education Teachers, All Other (25-2059.00)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, All Other (25-2059)
Adapted Physical Education Specialists (25-2059.01)	Education, Training, and Library Occupations (25-0000)	Preschool, Primary, Secondary, and Special Education School Teachers (25-2000)	Special Education Teachers (25-2050)	Special Education Teachers, All Other (25-2059)
Adult Basic and Secondary Education and Literacy Teachers and Instructors (25-3011.00)	Education, Training, and Library Occupations (25-0000)	Other Teachers and Instructors (25-3000)	Adult Basic and Secondary Education and Literacy Teachers and Instructors (25-3010)	Adult Basic and Secondary Education and Literacy Teachers and Instructors (25-3011)
Self-Enrichment Education Teachers (25-3021.00)	Education, Training, and Library Occupations (25-0000)	Other Teachers and Instructors (25-3000)	Self-Enrichment Education Teachers (25-3020)	Self-Enrichment Education Teachers (25-3021)
Teachers and Instructors, All Other (25-3099.00)	Education, Training, and Library Occupations (25-0000)	Other Teachers and Instructors (25-3000)	Miscellaneous Teachers and Instructors (25-3090)	Teachers and Instructors, All Other (25-3099)
Tutors (25-3099.02)	Education, Training, and Library Occupations (25-0000)	Other Teachers and Instructors (25-3000)	Miscellaneous Teachers and Instructors (25-3090)	Teachers and Instructors, All Other (25-3099)
Archivists (25-4011.00)	Education, Training, and Library Occupations (25-0000)	Librarians, Curators, and Archivists (25-4000)	Archivists, Curators, and Museum Technicians (25-4010)	Archivists (25-4011)
Curators (25-4012.00)	Education, Training, and Library Occupations (25-0000)	Librarians, Curators, and Archivists (25-4000)	Archivists, Curators, and Museum Technicians (25-4010)	Curators (25-4012)
Museum Technicians and Conservators (25-4013.00)	Education, Training, and Library Occupations (25-0000)	Librarians, Curators, and Archivists (25-4000)	Archivists, Curators, and Museum Technicians (25-4010)	Museum Technicians and Conservators (25-4013)
Librarians (25-4021.00)	Education, Training, and Library Occupations (25-0000)	Librarians, Curators, and Archivists (25-4000)	Librarians (25-4020)	Librarians (25-4021)
Library Technicians (25-4031.00)	Education, Training, and Library Occupations (25-0000)	Librarians, Curators, and Archivists (25-4000)	Library Technicians (25-4030)	Library Technicians (25-4031)
Audio-Visual and Multimedia Collections Specialists (25-9011.00)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Audio-Visual and Multimedia Collections Specialists (25-9010)	Audio-Visual and Multimedia Collections Specialists (25-9011)
Farm and Home Management Advisors (25-9021.00)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Farm and Home Management Advisors (25-9020)	Farm and Home Management Advisors (25-9021)
Instructional Coordinators (25-9031.00)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Instructional Coordinators (25-9030)	Instructional Coordinators (25-9031)
Instructional Designers and Technologists (25-9031.01)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Instructional Coordinators (25-9030)	Instructional Coordinators (25-9031)
Teacher Assistants (25-9041.00)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Teacher Assistants (25-9040)	Teacher Assistants (25-9041)
Education, Training, and Library Workers, All Other (25-9099.00)	Education, Training, and Library Occupations (25-0000)	Other Education, Training, and Library Occupations (25-9000)	Miscellaneous Education, Training, and Library Workers (25-9090)	Education, Training, and Library Workers, All Other (25-9099)
Art Directors (27-1011.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Artists and Related Workers (27-1010)	Art Directors (27-1011)
Craft Artists (27-1012.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Artists and Related Workers (27-1010)	Craft Artists (27-1012)
Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Artists and Related Workers (27-1010)	Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013)
Multimedia Artists and Animators (27-1014.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Artists and Related Workers (27-1010)	Multimedia Artists and Animators (27-1014)
Artists and Related Workers, All Other (27-1019.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Artists and Related Workers (27-1010)	Artists and Related Workers, All Other (27-1019)
Commercial and Industrial Designers (27-1021.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Commercial and Industrial Designers (27-1021)
Fashion Designers (27-1022.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Fashion Designers (27-1022)
Floral Designers (27-1023.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Floral Designers (27-1023)
Graphic Designers (27-1024.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Graphic Designers (27-1024)
Interior Designers (27-1025.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Interior Designers (27-1025)
Merchandise Displayers and Window Trimmers (27-1026.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Merchandise Displayers and Window Trimmers (27-1026)
Set and Exhibit Designers (27-1027.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Set and Exhibit Designers (27-1027)
Designers, All Other (27-1029.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Art and Design Workers (27-1000)	Designers (27-1020)	Designers, All Other (27-1029)
Actors (27-2011.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Actors (27-2011)
Producers and Directors (27-2012.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Producers (27-2012.01)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Directors- Stage, Motion Pictures, Television, and Radio (27-2012.02)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Program Directors (27-2012.03)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Talent Directors (27-2012.04)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Technical Directors/Managers (27-2012.05)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Actors, Producers, and Directors (27-2010)	Producers and Directors (27-2012)
Athletes and Sports Competitors (27-2021.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Athletes, Coaches, Umpires, and Related Workers (27-2020)	Athletes and Sports Competitors (27-2021)
Coaches and Scouts (27-2022.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Athletes, Coaches, Umpires, and Related Workers (27-2020)	Coaches and Scouts (27-2022)
Umpires, Referees, and Other Sports Officials (27-2023.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Athletes, Coaches, Umpires, and Related Workers (27-2020)	Umpires, Referees, and Other Sports Officials (27-2023)
Dancers (27-2031.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Dancers and Choreographers (27-2030)	Dancers (27-2031)
Choreographers (27-2032.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Dancers and Choreographers (27-2030)	Choreographers (27-2032)
Music Directors and Composers (27-2041.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Music Directors and Composers (27-2041)
Music Directors (27-2041.01)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Music Directors and Composers (27-2041)
Music Composers and Arrangers (27-2041.04)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Music Directors and Composers (27-2041)
Musicians and Singers (27-2042.00)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Musicians and Singers (27-2042)
Singers (27-2042.01)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Musicians and Singers (27-2042)
Musicians, Instrumental (27-2042.02)	Arts, Design, Entertainment, Sports, and Media Occupations (27-0000)	Entertainers and Performers, Sports and Related Workers (27-2000)	Musicians, Singers, and Related Workers (27-2040)	Musicians and Singers (27-2042)
